1,2,3,4
1,2,4,8
6,7,8,10
1,5,9,10
1,1,10,13
3,4,4,13
2,11,13,13
2,3,6,13
1,10,11,12
8,9,12,13
4,4,7,8
1,1,1,12
4,4,5,5
3,3,3,12
4,5,12,12
3,8,9,9
2,5,5,8
2,7,7,12
1,3,4,11
2,2,3,12
3,4,4,6
2,10,11,13
5,6,8,8
1,3,4,12
7,7,12,13
2,12,13,13
2,4,4,12
3,7,10,13
2,2,3,6
5,5,6,11
3,7,10,11
5,9,12,12
3,10,11,12
2,2,12,12
4,10,12,12
3,8,9,12
5,9,9,12
5,5,9,10
1,6,8,8
3,8,11,11
2,3,5,11
2,3,9,10
3,4,8,9
2,11,11,11
6,7,7,11
1,3,3,3
4,4,4,4
4,5,12,13
1,6,9,9
2,5,5,9
2,8,10,12
4,5,9,13
2,2,2,10
5,5,5,5
1,5,5,13
1,2,2,11
3,7,7,12
2,5,7,10
4,4,4,12
5,5,11,12
2,3,3,11
4,9,11,12
3,8,12,12
1,4,6,8
4,5,6,6
3,7,7,10
3,7,9,12
2,3,11,11
10,10,11,12
2,8,10,11
4,5,8,8
1,8,8,12
4,5,8,9
2,3,12,13
4,4,4,9
3,8,10,10
3,3,6,10
4,4,4,8
2,2,4,7
3,4,6,10
3,4,5,5
2,2,5,12
4,9,10,13
6,6,10,13
1,6,8,10
2,5,7,8
6,9,11,13
2,6,8,8
3,5,5,8
12,12,13,13
